name,name_en,logo,rating,city,district,gender,category,min fee
مدارس أنوار التعليم العالمية,Anwar Al-Taleem International School,https://storage.yaschools.com/source/school/logos/_wgw58UKWfpxrL0ViJAdD-lkorh_iHio.jpeg,3.6,الرياض,المصيف,بنين وبنات,عالمية,10 ألف
المدرسة العالمية المتعددة الجنسيات بالرياض,Multinational School,https://storage.yaschools.com/source/school/logos/zBRC3oiMn4hyCCZlGkMisLdydM0Ot5Wv.png,2.5,الرياض,الفلاح,بنين وبنات,عالمية,37 ألف
مدارس المملكة,kingdom schools,https://storage.yaschools.com/source/school/logos/FoC_UKwX9TAomDdpATeE_lyz9OcuaPMS.png,3.5,الرياض,الياسمين,بنين وبنات,أهلية,36 ألف
مدارس براعم السعودية,Baraem AlSaudi National Schools,https://storage.yaschools.com/source/school/logos/aDzoYnRtvfgeHhM6AG8p1APjTCg00Wzv.jpg,2.5,الرياض,السويدي,بنين وبنات,أهلية,0
مدرسة الياسمين العالمية,Al Yasmin International School,https://storage.yaschools.com/source/school/logos/MK_yVoQlcxMYTbwMsgD8bbQQc_cHaDFm.jpg,2.5,الرياض,الملز,بنين وبنات,عالمية,7 ألف
المدرسة الأمريكية العالمية,American International School - Riyadh,https://storage.yaschools.com/source/school/logos/uciXy0bctHfAwf6ZXVZZzLJuvGEg7qnV.jpg,2.5,الرياض,الروابى,بنين وبنات,عالمية,35 ألف
المدرسة العالمية الفلبينية,International Philippine School in Riyadh,https://storage.yaschools.com/source/school/logos/hcdWbu62_SAwnBxWrHZqCohAbW0Dd4-5.jpg,2.5,الرياض,الملك فهد,بنين وبنات,عالمية,6 ألف
مدرسة قافلة العلم العالمية,The Learning Caravan International School,https://storage.yaschools.com/source/school/logos/xWxLFRSsVXzW44aXqrZ9Y44Tw7Fgmnlz.jpg,4.5,الرياض,العليا,بنين وبنات,عالمية,22 ألف
مدارس الفارس العالمية,Al Faris International School,https://storage.yaschools.com/source/school/logos/y4vauGShGX5bjxq0T6EssGzRNmyaBSlc.png,2.5,الرياض,التعاون,بنين وبنات,عالمية,35 ألف
مدارس الشرق الأوسط الجديدة العالمية,New Middle East International School,https://storage.yaschools.com/source//1/bWt7HSBQUcvhFdc3flkmA8peDybi_kRv.png,2.5,الرياض,السليمانية,بنين وبنات,عالمية,7 ألف
المدارس الباكستانية العالمية-اردو,Pakistan International School Riyadh,https://storage.yaschools.com/source/school/logos/gfhMGNfv6ZNkIyLYFcm4HuzlyJSnl3Aq.png,3.8,الرياض,الناصرية,بنين وبنات,عالمية,300
مدرسة نافذة النجاح العالمية,Success International School,https://storage.yaschools.com/source/school/logos/3U3gQ0ZlO-SFLi5YqD2vK6y6ZalLEJL_.png,2.5,الرياض,المنصورة,بنين وبنات,عالمية,10 ألف
مدارس الجودة الأهلية,al jawdah Private Schools,https://storage.yaschools.com/source/school/logos/mzOr_4U8IOXUuIxDXveEE3mEMH9FJ24E.jpg,4.2,الرياض,المغرزات,بنين وبنات,أهلية,20 ألف
